Date,Cost
2025-05-09,17.18
2025-05-09,1382.99
2025-05-09,1342.76
2025-05-09,1465.86
2025-05-09,794.46
2025-05-09,1578
2025-05-09,579.1
2025-05-10,1985.33
2025-05-10,5976.52
2025-05-10,3691.21
2025-05-10,4243.1
2025-05-10,3943.78
2025-05-10,4315.08
2025-05-10,2075.61
2025-05-10,0
2025-05-10,0
2025-05-10,1078.5
2025-05-10,1230.1
2025-05-10,1791.32
2025-05-10,1249.45
2025-05-10,1291.81
2025-05-10,546.39
2025-05-11,710.82
2025-05-11,3567.21
2025-05-11,3668.48
2025-05-11,4199.96
2025-05-11,3216
2025-05-11,4311
2025-05-11,1675.45
2025-05-11,338.13
2025-05-11,1758.49
2025-05-11,1059.95
2025-05-11,1251
2025-05-11,993.05
2025-05-11,1184.06
2025-05-11,430.81
2025-05-12,3322.02
2025-05-12,3584.19
2025-05-12,3702.73
2025-05-12,4357.88
2025-05-12,3930.8
2025-05-12,4241.38
2025-05-12,2003.06
2025-05-12,2432.15
2025-05-12,1251.48
2025-05-12,1254.27
2025-05-12,1720.38
2025-05-12,1303.71
2025-05-12,1471.98
2025-05-12,0.83
2025-05-12,1696.24
2025-05-12,925.3
2025-05-12,2484
2025-05-12,1908.36
2025-05-13,2117.7
2025-05-13,3548.15
2025-05-13,3681.52
2025-05-13,4327.24
2025-05-13,3639.55
2025-05-13,4250.71
2025-05-13,1999.69
2025-05-13,2055.2
2025-05-13,1207.19
2025-05-13,1190.39
2025-05-13,1229.37
2025-05-13,1431.79
2025-05-13,1382.46
2025-05-13,354.24
2025-05-13,1296.96
2025-05-13,1236.99
2025-05-13,1725.65
2025-05-13,2401.13
2025-05-14,2142.21
2025-05-14,2486.52
2025-05-14,3360.42
2025-05-14,3969.87
2025-05-14,4478.37
2025-05-14,4186.9
2025-05-14,1509.52
2025-05-14,1505.51
2025-05-14,1202.78
2025-05-14,1274.42
2025-05-14,1646.04
2025-05-14,1475.24
2025-05-14,1479.86
2025-05-14,1000.05
2025-05-14,1529.58
2025-05-14,1230.47
2025-05-14,1676.45
2025-05-14,1590.76
2025-05-15,2149.21
2025-05-15,2478.52
2025-05-15,3365.07
2025-05-15,3813.39
2025-05-15,4631.6
2025-05-15,4195.42
2025-05-15,1490.88
2025-05-15,1521.1
2025-05-15,1201.12
2025-05-15,1264.72
2025-05-15,145.82
2025-05-15,1004.18
2025-05-15,703.63
2025-05-15,37.14
2025-05-15,715.12
2025-05-15,1566.91
2025-05-15,1239.87
2025-05-15,1639.2
2025-05-15,148.49
2025-05-16,2107.08
2025-05-16,1240.97
2025-05-16,3364.54
2025-05-16,3855.16
2025-05-16,4491.85
2025-05-16,4102.11
2025-05-16,742.58
2025-05-16,828.24
2025-05-16,318.98
2025-05-16,1103.18
2025-05-16,1615.26
2025-05-16,665.69
2025-05-16,184.28
2025-05-16,580.05
2025-05-16,173.28
2025-05-16,669.44
2025-05-16,643.04
2025-05-16,0
2025-05-16,948.11
2025-05-16,1317.82
2025-05-17,2089.57
2025-05-17,1240.41
2025-05-17,3392.9
2025-05-17,3855.24
2025-05-17,3450.41
2025-05-17,4232.01
2025-05-17,665.46
2025-05-17,1062.97
2025-05-17,1022.68
2025-05-17,878.97
2025-05-17,436.32
